dataset,batch_idx,sample_in_batch,video_path,gap_ms,offset_ms,shift_frames,gap_start_mel,gap_end_mel,gap_start_sec,gap_end_sec,pesq,stoi
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,-40,-1,106,122,1.06,1.22,3.8368210792541504,0.9871104787041424
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,0,0,106,122,1.06,1.22,2.709602117538452,0.9884984282571
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,40,1,106,122,1.06,1.22,2.688856363296509,0.9853134794375559
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,80,2,106,122,1.06,1.22,2.7081212997436523,0.9843317218702055
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,160,4,106,122,1.06,1.22,3.83636736869812,0.979878488341564
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,320,8,106,122,1.06,1.22,2.8437647819519043,0.9779946016553605
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,-320,-8,14,30,0.14,0.3,2.859687328338623,0.9746320782680269
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,-160,-4,14,30,0.14,0.3,2.725508689880371,0.985329354988941
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,-80,-2,14,30,0.14,0.3,2.994525194168091,0.9877104937909796
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,-40,-1,14,30,0.14,0.3,2.90067195892334,0.9900658490857478
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,0,0,14,30,0.14,0.3,2.8252389430999756,0.9856990682035591
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,40,1,14,30,0.14,0.3,2.7693259716033936,0.9795080166887502
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,80,2,14,30,0.14,0.3,3.051163911819458,0.9880659972034485
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,160,4,14,30,0.14,0.3,3.310940980911255,0.9906977169065015
lrs2,0,6,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00060.mp4,160,320,8,14,30,0.14,0.3,3.043532371520996,0.9917002961636131
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,-320,-8,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,-160,-4,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,-80,-2,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,-40,-1,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,0,0,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,40,1,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,80,2,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,160,4,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
