method,gap_ms,error_type,energy_bin,energy_low_db,energy_high_db,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_fraction,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
concat,500,temporal,<-60,-inf,-60.0,89.86444643196864,1.5684304707199233,0.9984063109121982,4223445,0.02072486026196236,43194.72121806067,1.566145775066264,0.9965520100702568
concat,500,temporal,-60_to_-40,-60.0,-40.0,89.68412797980392,1.5652833200275489,0.9957302083911708,1642115,0.13128604863766485,273626.1764395479,1.5632350120689602,0.9941351123398837
concat,500,temporal,-40_to_-20,-40.0,-20.0,85.96851643929787,1.5004336649206196,0.949149878633401,593352,0.37033321989020224,771847.9154382199,1.4530210371386372,0.9155624376924673
concat,500,temporal,-20_to_-10,-20.0,-10.0,81.93827030781469,1.4300926002604741,0.8988989180639539,74535,0.28411285708716677,592147.5706579685,1.440463631447672,0.9060892179050426
concat,500,temporal,-10_to_0,-10.0,inf,90.75194446435816,1.5839202334900917,1.013584285349476,19025,0.19354301412300376,403382.0461549759,1.5888983621632335,1.0189962251428446
concat,500,unit,<-60,-inf,-60.0,90.0140309778981,1.5710412135564928,1.0002168532658062,4232486,0.020272068461266918,41431.076128491484,1.5715818349952428,1.0006877935050067
concat,500,unit,-60_to_-40,-60.0,-40.0,89.99162811849232,1.5706502098980004,0.9999443675856076,1533195,0.12491723859110748,255299.8295027297,1.5696895018884707,0.9992382111747576
concat,500,unit,-40_to_-20,-40.0,-20.0,89.51710010533395,1.56236813367544,0.994329820182445,565797,0.3654081655864388,746803.5911239237,1.5589606303425012,0.9921132509039632
concat,500,unit,-20_to_-10,-20.0,-10.0,89.34735247633154,1.559405478651894,0.9925329165313335,74243,0.28850725559679014,589637.2189691067,1.5570050919731624,0.9905625071424883
concat,500,unit,-10_to_0,-10.0,inf,88.8470045145195,1.5506727593126313,0.9866195420635409,19279,0.20089527176439667,410580.07051563263,1.5466941258500986,0.9836971595262423
concat,1000,frequency,<-60,-inf,-60.0,43.388402723875394,0.7572704847129018,0.3801768305350081,7705576,0.0195231953980393,87444.07635495233,0.7394452047003959,0.3658252656303086
concat,1000,frequency,-60_to_-40,-60.0,-40.0,39.83151251715838,0.695191039473748,0.33454901946825005,3576343,0.13684434018144326,612923.5858987998,0.6761927643957303,0.32206117230138515
concat,1000,frequency,-40_to_-20,-40.0,-20.0,33.88616244434489,0.5914251055194681,0.27160881411890864,1308421,0.38756101314040636,1735879.5081596076,0.5615580989370096,0.25670808955271207
concat,1000,frequency,-20_to_-10,-20.0,-10.0,20.40918199362617,0.35620742342751704,0.14099556684710599,175033,0.30329451847675926,1358451.2417666912,0.3121888455893434,0.11582673781387394
concat,1000,frequency,-10_to_0,-10.0,inf,8.342417697578757,0.14560265639939388,0.02595801938811551,34627,0.15277693280335178,684285.4105057716,0.13214621908438873,0.02166267541293919
concat,1000,temporal,<-60,-inf,-60.0,89.81352427067733,1.5675417113431585,0.9977479934970547,7688743,0.019588601604957,89812.94646193954,1.5657704957065206,0.9963179572963887
concat,1000,temporal,-60_to_-40,-60.0,-40.0,89.78154075021126,1.5669834936046463,0.9971564639840322,3744351,0.13965462780491197,640310.8227506466,1.5659659424691368,0.9963213518426816
concat,1000,temporal,-40_to_-20,-40.0,-20.0,86.45273975832136,1.5088849561525144,0.9551572785103798,1338065,0.3816526009644666,1749861.7465785593,1.4684977913493447,0.9268124632382316
concat,1000,temporal,-20_to_-10,-20.0,-10.0,81.88346203195836,1.4291360153894397,0.8964761377008494,168678,0.2881494871736003,1321153.7498424053,1.4416826680211547,0.9061513481099982
concat,1000,temporal,-10_to_0,-10.0,inf,89.49529705747597,1.5619875987033485,1.0005213065733545,38406,0.1709546824520642,783820.3079590797,1.5593493312970739,1.0013413346331344
concat,1000,unit,<-60,-inf,-60.0,90.00899070357508,1.5709532441743523,1.0001384471113803,7824084,0.019226645177111437,87383.38168967541,1.5710721970841255,1.0002351744251012
concat,1000,unit,-60_to_-40,-60.0,-40.0,90.07878633724656,1.5721714077854354,1.001061107958735,3523580,0.13254427633945823,602401.8742458932,1.5713704858454383,1.0004554323187747
concat,1000,unit,-40_to_-20,-40.0,-20.0,89.60408928173568,1.5638863812172488,0.9951374745159616,1293334,0.3777525826446188,1716851.682101652,1.5591072362371081,0.9918431111491323
concat,1000,unit,-20_to_-10,-20.0,-10.0,89.28066539492492,1.5582415695128033,0.9912516387243916,169575,0.2924588632756606,1329199.3607168198,1.559640769501529,0.9922135300976028
concat,1000,unit,-10_to_0,-10.0,inf,89.62260511216984,1.5642095434220655,0.9952175615041066,39427,0.17801763256315117,809074.208758831,1.5651435827614015,0.9958401874989298
global_local_affinity,160,frequency,<-60,-inf,-60.0,42.54145518146471,0.742488461506161,0.36913069918460956,1375814,0.021546826290026654,12785.175488858076,0.7270556277918676,0.3563605685923875
global_local_affinity,160,frequency,-60_to_-40,-60.0,-40.0,40.26105617365381,0.7026879905606489,0.33931895485227265,473672,0.13468654543666841,79918.55024110526,0.68878541709197,0.330193908445233
global_local_affinity,160,frequency,-40_to_-20,-40.0,-20.0,35.1187965171061,0.6129386285614185,0.2853099008895949,170885,0.37684492295439925,223607.33813904226,0.6009442138712777,0.2821130751340881
global_local_affinity,160,frequency,-20_to_-10,-20.0,-10.0,27.61826206844801,0.48202960677307727,0.22560206363295074,22590,0.29561475990776587,175408.04068517685,0.44355415290501293,0.20374459656638322
global_local_affinity,160,frequency,-10_to_0,-10.0,inf,14.553793715342053,0.2540116189887772,0.09351205933446519,5039,0.17130694541113992,101647.88679599762,0.23563373770116677,0.08583950705698228
global_local_affinity,160,temporal,<-60,-inf,-60.0,89.8248532783413,1.5677394398278781,0.997850460780081,1452118,0.02169536582423107,13890.259202149839,1.5659060782191345,0.9963784792628617
global_local_affinity,160,temporal,-60_to_-40,-60.0,-40.0,89.61243834609347,1.5640320998797528,0.994762068496527,518976,0.13651713591663867,87403.84553918615,1.5645059655261746,0.9950155056359026
global_local_affinity,160,temporal,-40_to_-20,-40.0,-20.0,86.69761311204235,1.5131588024253464,0.9588008347059694,184105,0.3726525519714948,238587.38226231933,1.4711661723859535,0.9292743076544115
global_local_affinity,160,temporal,-20_to_-10,-20.0,-10.0,83.83044162165005,1.463117219698688,0.9233793396585446,22970,0.28013934419066566,179356.648560524,1.476244358516851,0.9340949045475935
global_local_affinity,160,temporal,-10_to_0,-10.0,inf,93.11711330806567,1.6252002171783748,1.0466004246716158,5817,0.18899560209696983,121002.7027182579,1.6413907382000272,1.0601200673437963
global_local_affinity,160,unit,<-60,-inf,-60.0,90.11621316304556,1.5728246291241983,1.0016103743206222,1392623,0.021169982475621525,12770.980821517303,1.57163576381165,1.0005015318375878
global_local_affinity,160,unit,-60_to_-40,-60.0,-40.0,89.86566550601154,1.5684517475757973,0.9981035964618652,466582,0.13026090697168677,78581.05440779403,1.5691072901800205,0.9986199258480223
global_local_affinity,160,unit,-40_to_-20,-40.0,-20.0,89.43265529377416,1.5608942936774959,0.9928113549390389,169184,0.3679348820840852,221960.00058451295,1.5606382344989254,0.992869605595119
global_local_affinity,160,unit,-20_to_-10,-20.0,-10.0,90.4690640925044,1.5789830396119777,1.0080248203003157,21980,0.28522476403874236,172064.38387727737,1.5797496428721325,1.0090601394262293
global_local_affinity,160,unit,-10_to_0,-10.0,inf,91.44363391826602,1.5959924918621051,1.0200420410589477,5631,0.19540946442986376,117882.50299453735,1.5946533694724383,1.0197149486446528
global_local_affinity,500,frequency,<-60,-inf,-60.0,42.846727457371706,0.7478164678357946,0.37317538867272326,4179486,0.020630091143270943,41507.6255873866,0.7288988665863851,0.35795168970715185
global_local_affinity,500,frequency,-60_to_-40,-60.0,-40.0,40.21183963693034,0.7018289999483956,0.33915466960399654,1554606,0.1290330837737574,259613.8278048262,0.6874252360591793,0.32984407221568735
global_local_affinity,500,frequency,-40_to_-20,-40.0,-20.0,35.25206797463268,0.6152646542941891,0.2874955929637256,572005,0.37417670064211084,752841.3852326721,0.6028411731179857,0.2837263271614952
