method,gap_ms,condition,comparison,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,1000,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,-0.0142538546019359,-0.00045070650485634633,0.0021458319425582822,0.05085646939277666,0.22414027136166847,-0.05152522075431065,0.00016414600296299486,-0.012904761904761752
concat,1000,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.030225357833344402,0.19281265615120424,-0.094619726896286,1.9105604043006896,0.7051648441791549,,0.12427867432200368,-0.04114285714285715
temporal_self_cross_attention,160,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,0.00037359821296473195,0.014335447583682992,0.0,0.28753233432769765,0.11728162622451865,0.0,0.01184322692227835,-0.0012380952380952603
temporal_self_cross_attention,160,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,-0.0041453293649544865,0.014081712041943861,-0.04080518270283938,0.28017425918579075,0.11222805658976398,10.36754502128387,0.012041729252304734,-0.0024285714285715576
temporal_self_cross_attention,160,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,-0.008935087527415286,0.0006927442992110677,0.00013304881751537243,0.028077830791473524,0.015418371772767614,-0.0067474207817994625,0.0001775060265685191,-0.010428571428571454
temporal_self_cross_attention,160,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.010049973516682575,0.021688660734770937,-0.00789368437975645,0.4184583802223205,0.05911973892847655,,0.012300119866972992,-0.00633333333333308
temporal_self_cross_attention,500,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,0.0007642777028213366,0.039290217082937895,0.0,0.3787390034198759,0.10103567988077877,0.0,0.023700564994836304,0.0018095238095238164
temporal_self_cross_attention,500,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,0.0027204992871950884,0.038889486873777246,-0.03502982366085052,0.3668094947338103,0.09372688538233609,4.329959789927592,0.023289299241126438,4.761904761896307e-05
temporal_self_cross_attention,500,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,-0.004500215813112329,-0.0004532055047548056,0.0014182728230953193,0.03394423222541798,0.0868245770772309,-0.11215816066721018,-0.0005139116785157771,-0.00866666666666649
temporal_self_cross_attention,500,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.03652990625903202,0.08747565067251262,-0.04051376807689667,1.12241748213768,0.3232401558558142,,0.05464807018159268,-0.039964285714285785
temporal_self_cross_attention,1000,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,-0.000681001867038955,0.07269672267958627,0.0,0.3499829258918763,0.09198947033882021,0.0,0.040654105699415966,-0.003190476190476299
temporal_self_cross_attention,1000,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,0.0020234518412828306,0.07233559029859149,-0.02623116159439086,0.3509331152439117,0.0810275266806273,1.7361677458141322,0.03983921974265525,-0.0035238095238095957
temporal_self_cross_attention,1000,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,-0.009825582323436943,-0.001816106449652355,0.0043330683112144525,0.0315740787982941,0.1791722583770743,-0.16127436754341673,-0.00133746159564474,-0.013571428571428679
temporal_self_cross_attention,1000,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.037658503115935715,0.1958957785158012,-0.098369371175766,1.94889794254303,0.7275296423594173,,0.12686062193430891,-0.045571428571428374
global_local_affinity,160,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,-0.004070404052746557,0.014980074899843765,0.0,0.2768781032562262,0.115626655896504,0.0,0.012154196301407905,-0.003190476190476188
global_local_affinity,160,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,0.000427661846732208,0.01464109990097906,-0.054464276030659675,0.2796575307846072,0.1133600645701085,11.208483700488578,0.011857638475264332,-0.0023809523809522615
global_local_affinity,160,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,0.0015687639833928957,0.0014004622935491762,-0.0002444701939821256,0.03896272420883218,0.019783401457468486,0.16297967515117762,0.0010041651950043473,0.00271428571428578
global_local_affinity,160,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.012562473770052485,0.024264850475413713,-0.008910509392619132,0.4623898229598993,0.08365684372584159,,0.013788706232993886,-0.008571428571428563
global_local_affinity,500,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,-0.0011288768777449332,0.04015540931926931,0.0,0.39950798392295805,0.1187937066396092,0.0,0.023865295272784248,-0.000571428571428445
global_local_affinity,500,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,-0.015123640031188712,0.03970985242942182,-0.046784915566444395,0.38802081894874574,0.11780121889114392,5.095621715727351,0.023051413857033798,-0.00695238095238071
global_local_affinity,500,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,-0.012212647021477674,0.0008433821646791628,0.0010730845034122513,0.03460483765602085,0.10092866032918346,-0.016915191583375844,0.000729487268409934,-0.01104761904761875
global_local_affinity,500,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.03393536510830192,0.08668603106346484,-0.041109708189964296,1.1149140512943267,0.36825154644648217,,0.05304683639881491,-0.03767857142857167
global_local_affinity,1000,F_minus_A0,GT phase vs Griffin-Lim with identical no-phase completed Mel,0.0004818973348590383,0.07565218063816981,0.0,0.38975602674484255,0.1017718941688539,0.0,0.04154678965024372,-0.004857142857142893
global_local_affinity,1000,F_minus_previous_A,end-to-end gain vs previous no-phase raw-Mel Griffin-Lim baseline; not a strictly fixed-Mel comparison,0.001982107305353864,0.07522943420779538,-0.03513882273435592,0.3833363173007962,0.10127299936612433,2.1850076952810937,0.04112137014767092,-0.007190476190476192
global_local_affinity,1000,F_minus_previous_C,no-phase Mel vs joint-phase-model Mel with GT phase in both,-0.0023350692076100077,-0.0002289049877830518,0.003250686585903162,0.038513444185256596,0.17415041526158692,-0.11721651898339758,-2.2649419159859185e-05,-0.0118571428571429
global_local_affinity,1000,D_minus_F,remaining Mel-prediction headroom after giving no-phase model GT phase,-0.05792989456798131,0.19171534514626787,-0.09432517462968826,1.9247081346511843,0.8441746982574463,,0.12298081528233407,-0.06480952380952376
