method,gap_ms,error_type,position_bin,position_low,position_high,position_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
global_local_affinity,160,unit,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.93882247793444,1.569728577606641,0.9994396329888574,257000,75940.37914983928,1.572871323710917,1.0027435652581087
global_local_affinity,160,unit,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.13822463864253,1.573208801846588,1.0020349012504293,257000,76355.63405271436,1.6000712090254172,1.0236202261088079
global_local_affinity,160,unit,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.82186527468622,1.5676872893260354,0.9977894680031543,128500,38325.91773580473,1.5778242673441667,1.0040503934051344
global_local_affinity,160,unit,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.12516382644502,1.572980847670757,1.0017731659375275,128500,39654.356716217124,1.553129087171991,0.9889520399463385
global_local_affinity,160,unit,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.85505634408041,1.568266582769222,0.9978861119740204,257000,77695.7923020281,1.538947021624865,0.9777395230091889
global_local_affinity,160,unit,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.97732219422775,1.570400524417043,0.999769511519471,257000,76952.02428924173,1.5746461043646502,1.0046920299659097
global_local_affinity,500,frequency,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.17523174644448,0.7186433642471513,0.35286421422753483,640000,188393.1480800509,0.4982251022040497,0.22755335188553327
global_local_affinity,500,frequency,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.29304517538987,0.7206995964853126,0.35481604015138,640000,193651.78599362884,0.501941740531949,0.23197729772438203
global_local_affinity,500,frequency,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.323776295979584,0.7212359557224305,0.354823906189017,640000,191882.70031156077,0.5092296056589766,0.23520757720574964
global_local_affinity,500,frequency,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.39424760980307,0.7224659121768565,0.3555102649848908,640000,197789.52020706207,0.5097842380868518,0.2340436001315177
global_local_affinity,500,frequency,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.32608297666445,0.7212762148951737,0.35600102629475294,640000,208252.70598082594,0.5068522795123409,0.23312900418869875
global_local_affinity,500,frequency,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.14135570352878,0.7180521157607253,0.3537881262531504,640000,215881.7754382948,0.49731942592948913,0.23200199615114786
global_local_affinity,500,frequency,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.29700193117748,0.7207686549015038,0.35583217903608455,640000,208613.42020721757,0.49095089092177957,0.22905189320207137
global_local_affinity,500,frequency,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.291225421166665,0.7206678357825406,0.3552080356803723,640000,205649.509738526,0.5009915114821117,0.2325004980517652
global_local_affinity,500,frequency,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.26775832068525,0.7202582576132437,0.35508047709595414,640000,204578.43273111846,0.5077647120706811,0.233235385627294
global_local_affinity,500,frequency,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.16285695104052,0.7184273833230914,0.3531191728400998,640000,197301.2915514563,0.5143575403801256,0.23523156568256517
global_local_affinity,500,temporal,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.3684848084765,1.5597743074264487,0.991929383270024,770486,230589.41458060924,1.4992938833724612,0.9503617320117053
