method,gap_ms,error_type,depth_bin,depth_low,depth_high,depth_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
concat,500,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,40.875763540284744,0.7134166580446225,0.34983878424642606,1280000,385694.4396315071,0.4427784566790802,0.18870368634362264
concat,500,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,40.970190287321174,0.7150647156823561,0.35159303352381105,1280000,398230.21872474725,0.43880064263850777,0.18842546501592633
concat,500,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,41.03290491984464,0.716159292509069,0.3520645072528627,1280000,397532.21005008684,0.43455981258829524,0.18729926329212085
concat,500,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,41.08717250484305,0.7171064405443971,0.35283053800622,1280000,406402.9404142797,0.429327750782641,0.18501099645131194
concat,500,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,40.939893029485845,0.7145359287788039,0.3517114707700443,1280000,424134.4814191207,0.4295480375090563,0.1849040948067479
concat,500,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.37670843581164,1.559917836799904,0.9920561996733226,1540972,472866.98004390224,1.4931367532877589,0.9455361913612232
concat,500,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.37230304495579,1.5598409482246323,0.9920299527912289,1285000,405498.16847368877,1.4885166594732393,0.9412002724099107
concat,500,temporal,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.30738876643537,1.5587079803328943,0.9913172942494141,1285000,403492.65463184443,1.482169756847612,0.936692153123942
concat,500,temporal,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.34943480026188,1.5594418220605717,0.9918736994066127,1285000,414333.23810935585,1.4994844936476797,0.9513122370600702
concat,500,temporal,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.50123806123256,1.5620912887797744,0.9938527983646088,1156500,388007.3886499817,1.4995227292191526,0.9495925700009047
concat,500,unit,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.84199942485705,1.5680386965386073,0.997994892488936,1285000,392236.4367152313,1.5486122073097217,0.9848130145084958
concat,500,unit,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.96728870765584,1.5702254070409085,0.999574398148802,1285000,404629.54069319105,1.5760659222560316,1.0050504365890085
concat,500,unit,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.98509257067485,1.5705361430701643,0.999901355968839,1285000,404030.7144427993,1.5542467068925367,0.9883154796882748
concat,500,unit,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,90.01062357822185,1.5709817432132112,1.0003950304880216,1285000,412729.88912760187,1.5554929137223348,0.9888539675962144
concat,500,unit,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.9635900912637,1.5701608540070973,0.999653406030102,1285000,430125.20526106074,1.5532554799193057,0.9881903678113619
concat,1000,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,40.92502996701085,0.7142765194016857,0.3506024112208979,2560000,816403.7368785499,0.44451065107393845,0.19073019168005123
concat,1000,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,41.067923828654685,0.7167704877682599,0.35312843631422147,2560000,867381.4220783308,0.44125754745262397,0.19035520577710535
concat,1000,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,40.955798628262606,0.7148135338469597,0.3510446106025949,2560000,889982.1185994865,0.43749206785835115,0.18822056933127213
concat,1000,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,41.05275285532182,0.7165057043328691,0.35264183995984494,2560000,915317.2371350104,0.4377060650863188,0.1884218186581532
concat,1000,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,41.06970779835836,0.7168016239133448,0.3530904779283563,2560000,989899.3079944452,0.4372081740496591,0.1882704538807754
concat,1000,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.35831065410017,1.5595967349339757,0.9919453449858481,2826743,913676.979409873,1.493869887223508,0.9461385701099974
concat,1000,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.17279711734018,1.5563589129104942,0.9894411423934341,2570000,880230.2619262693,1.4730899397687407,0.9305937030084234
concat,1000,temporal,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.34676194550421,1.5593951719446228,0.9917642778544574,2570000,903985.8193035255,1.49348353177009,0.9462329012266582
concat,1000,temporal,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.45095116817399,1.561213616925304,0.9932535823806019,2570000,932070.6163800647,1.494636494550642,0.9471144955558395
concat,1000,temporal,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.44419320753997,1.5610956682615202,0.9930378267001403,2441500,954995.8965728979,1.5027981705128322,0.9523681867864987
concat,1000,unit,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.86698409336407,1.5684747612665741,0.9983533010036101,2570000,829242.4242320738,1.5526656983575333,0.9879174840741924
concat,1000,unit,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.94583308406253,1.5698509357661365,0.99931756195259,2570000,880473.8403736688,1.5632197389284224,0.9937434875755099
concat,1000,unit,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.98306700797202,1.5705007903317947,0.9998209397952612,2570000,903070.564110706,1.5594012689975205,0.9917993140134976
concat,1000,unit,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,90.00586261288623,1.5708986486925312,1.0001230166396742,2570000,928698.2474282257,1.5644286812083221,0.9957692370099327
concat,1000,unit,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,90.08115144116724,1.5722126866360033,1.0011638539590493,2570000,1003425.4313681968,1.569610322785418,0.9994402155663704
global_local_affinity,160,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,41.23132856825361,0.719622438487625,0.35399677444051486,512000,147860.0775948903,0.511052777055162,0.236806141370701
global_local_affinity,160,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,41.10859806634471,0.7174803871366895,0.35208036670585474,384000,112033.14974426026,0.5098790077261328,0.23698143446087297
global_local_affinity,160,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,41.22498267423416,0.7195116817430031,0.3534720001897464,384000,110017.49795942595,0.5007006900638944,0.22898881294571202
global_local_affinity,160,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,41.19825742129809,0.7190452380858403,0.35352718380023723,256000,73584.37067312996,0.5035870617662936,0.23106547484576798
global_local_affinity,160,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,41.06422683051117,0.7167059629782153,0.3519968663953478,512000,149871.89537847362,0.5047164401864644,0.23174201381696988
global_local_affinity,160,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.70972438630491,1.5657300615976704,0.9961676088064337,513486,149747.4887710508,1.5450719159919117,0.9841672692192351
global_local_affinity,160,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.20460585211052,1.5569140800631305,0.9897448466270582,514000,149894.69034257354,1.5021135976864146,0.9528135689455077
global_local_affinity,160,temporal,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.18276446919158,1.5565328760180062,0.9898512441604054,257000,75484.36568955201,1.510298972629975,0.9582270421935594
global_local_affinity,160,temporal,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.48728526466076,1.5618477665397354,0.9938352238758529,514000,150751.35293670034,1.519340230554601,0.965467013592208
global_local_affinity,160,temporal,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.59640106683942,1.563752196553708,0.9950773895709895,385500,114362.94054256051,1.5154146358508376,0.9641225975006503
global_local_affinity,160,unit,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,90.21392836537164,1.5745300811340412,1.0029654096916956,514000,150363.1728795281,1.5816304413660465,1.0094816968369371
global_local_affinity,160,unit,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.8438406975992,1.5680708328103852,0.9977567839934823,385500,113871.78452069784,1.542064305135419,0.9794218194418688
global_local_affinity,160,unit,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,90.00262782121378,1.5708421909272308,1.0001891331041832,385500,111884.01281653202,1.5693902488653981,1.0003377395662865
global_local_affinity,160,unit,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.80950446961504,1.567471552579346,0.9973522497942011,257000,74843.93926632738,1.5892792239793103,1.014245289241267
global_local_affinity,160,unit,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,90.03852355828845,1.571468689726614,1.0007372671196433,514000,152296.01320255361,1.586508348381993,1.0132103571500184
global_local_affinity,500,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,41.1690443487425,0.7185353737851213,0.3529916935338173,1280000,385694.4396315071,0.5064776217141957,0.23148112823722236
global_local_affinity,500,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,41.28040174803757,0.7204789270492782,0.3549482586236671,1280000,398230.21872474725,0.5049331116916931,0.23262360139324958
global_local_affinity,500,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,41.30750085857313,0.7209518957524855,0.3550159709346946,1280000,397532.21005008684,0.50496791318269,0.23380716363732426
global_local_affinity,500,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,41.34562477049026,0.7216172835391799,0.3556712220104877,1280000,406402.9404142797,0.5001167662864497,0.2314812735544453
global_local_affinity,500,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,41.23371934009662,0.7196641653279494,0.35489457627395166,1280000,424134.4814191207,0.5020001171755898,0.2325553642071872
global_local_affinity,500,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.31303023359965,1.558806442509554,0.9911351575323643,1540972,472866.98004390224,1.491774428239879,0.9442940491937699
global_local_affinity,500,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.36446129767937,1.5597040839155494,0.9919335828535287,1285000,405498.16847368877,1.4896096959225575,0.9419315174759891
global_local_affinity,500,temporal,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.32415296189677,1.5590005707401435,0.9915275046957143,1285000,403492.65463184443,1.4825325785286045,0.9369666861044053
global_local_affinity,500,temporal,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.34998513548122,1.5594514272221391,0.9918143443277838,1285000,414333.23810935585,1.5016284140142,0.9526381179578048
global_local_affinity,500,temporal,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.4981598049224,1.5620375630719416,0.9938118739008027,1156500,388007.3886499817,1.501223020645136,0.9510143265297666
global_local_affinity,500,unit,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.82336747868764,1.5677135077318969,0.9977366011550918,1285000,392236.4367152313,1.557706376353361,0.9919825708744318
global_local_affinity,500,unit,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.94186002013724,1.569781592719248,0.9992163046656416,1285000,404629.54069319105,1.5687253111798052,0.999255594187531
global_local_affinity,500,unit,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,90.04564550047468,1.5715929910669004,1.0005665836580533,1285000,404030.7144427993,1.5621603115170488,0.9940890195508243
