method,gap_ms,condition,comparison,cer,estoi,mse,pesq,plcmos,psnr,roundtrip_max_abs_error,roundtrip_rmse,roundtrip_snr_db,stoi,stored_phase_circular_mae_rad,wer
temporal_self_cross_attention,500,C_PHASE_MODEL_MEL_GT_PHASE,,0.3405421320326055,0.9004208750710829,0.03909549525380135,3.2388141746520995,3.7556463804562883,26.095341711964362,,,,0.932980061344562,,0.5571071428571427
temporal_self_cross_attention,1000,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.36410738319387426,0.7165461566866788,0.09403630286455154,2.029662893295288,3.1447013585567474,21.576030395826155,,,,0.8229488336636435,,0.5842380952380953
temporal_self_cross_attention,1000,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.3645421445597315,0.7214417469496475,0.09403630286455154,1.9998735783100128,2.7223701452573135,21.576030395826155,,,,0.8320571098284777,,0.5806666666666666
temporal_self_cross_attention,1000,C_PHASE_MODEL_MEL_GT_PHASE,,0.355906193045816,0.7917604467709065,0.09403630286455154,2.370588618516922,3.2536766386349996,21.576030395826155,,,,0.8630973335277328,,0.5738095238095238
global_local_affinity,160,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.3096861826679248,0.9529213547433882,0.0633747854232788,3.7204893970489503,3.9721639393488566,22.082543062728675,,,,0.9639333050565081,,0.5186666666666666
global_local_affinity,500,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.3485710150999518,0.8610474367459541,0.08789462375640869,2.892241018772125,3.6796583480517073,20.943233870826653,,,,0.9110159695917902,,0.5531071428571428
global_local_affinity,1000,A_NO_PHASE_MEL_GRIFFIN_LIM,,0.3643698948690708,0.7188953394829921,0.12946399736404418,2.0430161879062654,3.2149308417479205,19.419303191725437,,,,0.824518308436392,,0.5866666666666667
global_local_affinity,160,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.3108819917398844,0.9519562842589475,0.009154979586601258,3.6787131357192995,3.932262609163919,33.128047088066076,,,,0.9643031080302115,,0.5194285714285714
global_local_affinity,160,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.31095933078597904,0.9536045162808534,0.009154979586601258,3.719584756851196,3.7563974889755243,33.128047088066076,,,,0.9683271303193312,,0.5196666666666666
global_local_affinity,160,C_PHASE_MODEL_MEL_GT_PHASE,,0.3085450805312641,0.9661619923508181,0.009154979586601258,3.9611842036247253,4.065740602461497,33.128047088066076,,,,0.9747867783367681,,0.5135714285714286
global_local_affinity,500,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.34505554367510266,0.8593995058052759,0.040036623686552045,2.853094601869583,3.5541362751642867,26.05577077813738,,,,0.911134853516408,,0.5585357142857144
global_local_affinity,500,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.3593688736925155,0.8638874394473217,0.040036623686552045,2.8641126925945284,3.169589108181,26.05577077813738,,,,0.9178566271488664,,0.5681071428571427
global_local_affinity,500,C_PHASE_MODEL_MEL_GT_PHASE,,0.34566002209024077,0.8999139070106967,0.040036623686552045,3.24565700006485,3.696530906613668,26.05577077813738,,,,0.9333378961804141,,0.5572023809523808
global_local_affinity,1000,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.37833711052024765,0.7167967670209099,0.0910744880437851,2.023926418542862,3.018054577970505,21.721527405989928,,,,0.8246542522583507,,0.6021904761904762
global_local_affinity,1000,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.37900191445354076,0.7256729965109435,0.0910744880437851,2.0275059990882873,2.698157465378444,21.721527405989928,,,,0.8358931175120613,,0.6026666666666667
global_local_affinity,1000,C_PHASE_MODEL_MEL_GT_PHASE,,0.36868707138203466,0.7943536786785705,0.0910744880437851,2.387839061021805,3.142053425852458,21.721527405989928,,,,0.8656623280032227,,0.5913333333333334
