method,gap_ms,condition,comparison,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
global_local_affinity,160,C_minus_B,remaining phase-prediction headroom,-0.0024142502547149225,0.012557476069964713,0.0,0.24159944677352918,0.3093431134859723,0.0,0.006459648017436925,-0.0060952380952380425
global_local_affinity,160,D_minus_C,GT-Mel gain with GT phase,-0.010993709786659589,0.02566531276896289,-0.009154979586601258,0.5013525471687315,0.10344024518331008,,0.014792871427998233,-0.005857142857142783
global_local_affinity,500,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,0.014313330017412862,0.004487933642045805,0.0,0.011018090724945306,-0.3845471669832867,0.0,0.006721773632458405,0.009571428571428342
global_local_affinity,500,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,0.00060447841513811,0.040514401205420825,0.0,0.39256239819526684,0.14239463144938114,0.0,0.02220304266400608,-0.0013333333333335196
global_local_affinity,500,C_minus_B,remaining phase-prediction headroom,-0.013708851602274752,0.03602646756337502,0.0,0.38154430747032153,0.5269417984326679,0.0,0.015481269031547673,-0.010904761904761862
global_local_affinity,500,D_minus_C,GT-Mel gain with GT phase,-0.04614801212977959,0.087529413228144,-0.040036623686552045,1.1495188889503476,0.46918020677566563,,0.053776323667224846,-0.04872619047619042
global_local_affinity,1000,B_minus_A2,learned phase vs Griffin-Lim with identical Mel,0.0006648039332931011,0.008876229490033638,0.0,0.003579580545425287,-0.3198971125920611,0.0,0.01123886525371065,0.0004761904761905189
global_local_affinity,1000,C_minus_A2,GT phase vs Griffin-Lim with identical Mel,-0.009650039138212996,0.07755691165766065,0.0,0.36391264247894295,0.12399884788195292,0.0,0.041008075744872086,-0.010857142857142787
global_local_affinity,1000,C_minus_B,remaining phase-prediction headroom,-0.010314843071506097,0.06868068216762702,0.0,0.36033306193351766,0.44389596047401403,0.0,0.029769210491161435,-0.011333333333333306
global_local_affinity,1000,D_minus_C,GT-Mel gain with GT phase,-0.06026496377559132,0.19148644015848482,-0.0910744880437851,1.9632215788364409,1.0183251135190332,,0.1229581658631742,-0.07666666666666666
