dataset,gap_ms,offset_ms,shift_frames,pesq_mean,pesq_std,pesq_ci95,stoi_mean,stoi_std,stoi_ci95,num_pesq,num_stoi,delta_pesq_av_minus_audio_mean,delta_pesq_av_minus_audio_std,delta_pesq_av_minus_audio_ci95,delta_num_pesq,delta_stoi_av_minus_audio_mean,delta_stoi_av_minus_audio_std,delta_stoi_av_minus_audio_ci95,delta_num_stoi
grid,500,80,2,2.8731219611465932,0.8088724204245462,0.025077479411722232,0.8964634537223194,0.046783679738421215,0.0014504348718294637,4000,4000,0.03476151782274246,0.32007768364662414,0.009923371497308597,4000,-0.003518501389027172,0.028177221661081248,0.0008735786735248361,4000
grid,500,160,4,2.7437313630878926,0.8749317956758879,0.027125518856493096,0.8784833219728425,0.0519147219189405,0.0016095126217855256,4000,4000,-0.0946290802359581,0.29339842450918113,0.009096234170277382,4000,-0.021498633138504118,0.031983516651093946,0.0009915852736223963,4000
grid,500,320,8,2.695601068288088,0.8834194143820602,0.027388660580681037,0.8769575980022665,0.0526862609157219,0.0016334326527058173,4000,4000,-0.14275937503576278,0.31695348517644906,0.009826511942160422,4000,-0.023024357109080126,0.03403957907595405,0.0010553293967086833,4000
grid,1000,-320,-8,1.8031010632812976,0.7584154971934238,0.023513162936643014,0.7322615053475393,0.07049002735936225,0.0021854029945888613,4000,4000,-0.07229411894083024,0.2286204431216749,0.007087921791762248,4000,-0.04701983162855636,0.05386458391013388,0.0016699642118078275,4000
grid,1000,-160,-4,1.8683206268548966,0.7559494310444723,0.02343670746416465,0.7386359354322583,0.06927150449743437,0.0021476251186085295,4000,4000,-0.007074555367231369,0.21555432255569953,0.006682832730483155,4000,-0.04064540154383744,0.053044298072856634,0.001644532882123907,4000
grid,1000,-80,-2,1.994172901928425,0.7253547930697993,0.022488181609473915,0.7946973414503387,0.06113483146616785,0.0018953637665470942,4000,4000,0.11877771970629693,0.26125048270311324,0.008099551221997634,4000,0.015416004474242836,0.054087805259510555,0.0016768847454444078,4000
grid,1000,-40,-1,2.074019450992346,0.700284041088571,0.021710912845240786,0.8259816972162739,0.06498224156550328,0.002014645058773495,4000,4000,0.19862426877021788,0.29602056512463376,0.009177528420938249,4000,0.04670036024017827,0.06293613411413915,0.0019512095698260244,4000
grid,1000,0,0,2.0904499908685685,0.6892861501924966,0.02136994512826273,0.8315614592660603,0.06788486405255746,0.0021046350915909055,4000,4000,0.2150548086464405,0.3061646712144792,0.009492026239376547,4000,0.05228012228996465,0.06649085037526772,0.0020614164721780397,4000
grid,1000,40,1,2.055606562614441,0.6941523728818706,0.021520812676993812,0.8198308747394722,0.06619315741561384,0.002052187094493464,4000,4000,0.180211380392313,0.2886780451958199,0.008949888205132216,4000,0.0405495377633766,0.06287020876705755,0.001949165685657886,4000
grid,1000,80,2,1.9634093531668186,0.7063783700336692,0.021899855384002027,0.7760610143103698,0.06517547763863205,0.002020635958602847,4000,4000,0.0880141709446907,0.25116027925664464,0.007786724547729156,4000,-0.0032203226657259968,0.055253316863826826,0.001713019112896353,4000
grid,1000,160,4,1.8301140861213208,0.7175605405506257,0.02224653632383449,0.7210387669707669,0.0734559715779608,0.0022773561916569272,4000,4000,-0.04528109610080719,0.2205091208809595,0.006836446390503516,4000,-0.0582425700053289,0.058702276983733814,0.0018199472565873231,4000
grid,1000,320,8,1.7843962308466434,0.6926398419977734,0.021473919667481096,0.7287518531695171,0.07356126994889997,0.0022806207580615143,4000,4000,-0.09099895137548447,0.2559969771638522,0.007936676739355442,4000,-0.05052948380657867,0.06326345743601397,0.001961357577914845,4000
lrs2,160,-320,-8,3.6671554830317907,0.8886714347287059,0.04947114308456993,0.9714875041861277,0.04397378420533231,0.0024479614010054387,1243,1243,-0.025773493110030674,0.25486317881305465,0.014187890252034542,1243,-0.0019970182794812204,0.01897055477207769,0.0010560652597206871,1243
lrs2,160,-160,-4,3.640033578930223,0.913724546325341,0.050865816098774774,0.9709644000817427,0.04253752304326111,0.0023680066745689725,1243,1243,-0.05289539721159808,0.2842595926109842,0.01582434905597321,1243,-0.002520122383866452,0.015030978505942576,0.0008367543495933195,1243
lrs2,160,-80,-2,3.674793936030479,0.8817021450455521,0.04908317210492617,0.9734614586426938,0.04001801546353542,0.0022277490775445804,1243,1243,-0.018135040111342267,0.2659724808018096,0.014806330146440706,1243,-2.306382291530051e-05,0.012658277508265686,0.0007046692774667362,1243
lrs2,160,-40,-1,3.766910079114397,0.8074037277593916,0.0449470791814006,0.9790886879373379,0.031366422526267354,0.0017461265392442412,1243,1243,0.07398110297257537,0.2918672849975212,0.016247859055158298,1243,0.00560416547172891,0.01533976243207218,0.000853943935299353,1243
lrs2,160,0,0,3.835108902218451,0.7579937913901286,0.04219649450364561,0.9816863722729191,0.028031781866856505,0.0015604915804164035,1243,1243,0.14217992607662971,0.30232513930632826,0.016830033733729485,1243,0.008201849807310006,0.01711152888159607,0.0009525757896737372,1243
lrs2,160,40,1,3.7776355220728695,0.8035824097558023,0.0447343515496354,0.9792106969185046,0.03193443112534791,0.0017777468137126769,1243,1243,0.0847065459310481,0.2742953422896225,0.015269652647250408,1243,0.005726174452895494,0.014582028855992775,0.0008117619266319418,1243
lrs2,160,80,2,3.680860296143511,0.8837932204884305,0.04919957946133777,0.9723401908982339,0.0421513174011439,0.00234650712610303,1243,1243,-0.012068679998310362,0.2586971400392586,0.014401321714991524,1243,-0.0011443315673752867,0.013990222184900026,0.0007788168455143403,1243
lrs2,160,160,4,3.6357798665546164,0.9090129434602261,0.05060352750662606,0.9713032962321506,0.042804049785479914,0.0023828438597027516,1243,1243,-0.0571491095872052,0.26823397940995275,0.014932224731162175,1243,-0.0021812262334585716,0.01697081748584116,0.0009447425755959766,1243
lrs2,160,320,8,3.631049078985845,0.904409719161814,0.050347272203464855,0.971661955245939,0.043060761988894525,0.0023971346826665353,1243,1243,-0.06187989715597655,0.2979863968516322,0.016588501778953765,1243,-0.0018225672196699907,0.01624425631686793,0.0009042958928904163,1243
lrs2,500,-320,-8,2.8908148186876232,1.387693636291734,0.07725103762280067,0.8635886973324901,0.1654808965879255,0.009212098862346545,1243,1243,-0.06825952230685196,0.19311853532345896,0.010750649024952623,1243,-0.022545285523192654,0.049937673547797864,0.0027799630964258893,1243
lrs2,500,-160,-4,2.909171000566582,1.3717131413030212,0.07636142496816392,0.8573813762734608,0.17848584708324247,0.009936066958561971,1243,1243,-0.04990334042789278,0.18464145850185945,0.01027874156400417,1243,-0.028752606582221986,0.05768969138161713,0.0032115074990746433,1243
lrs2,500,-80,-2,2.975953341585345,1.3139032048630381,0.07314322358847698,0.8777617246139712,0.15749095703015517,0.008767309677443588,1243,1243,0.016879000590869907,0.21333518946297939,0.011876082959861088,1243,-0.008372258241711611,0.04487810414971871,0.002498303675567946,1243
lrs2,500,-40,-1,3.057009191543751,1.25559806232474,0.06989745475158514,0.9171148432861888,0.10615848242855075,0.005909699883024713,1243,1243,0.09793485054927589,0.23887672453071365,0.01329794585153959,1243,0.03098086043050594,0.05189005499183774,0.0028886495445316985,1243
lrs2,500,0,0,3.16137125898731,1.2150937777718778,0.0676426357281015,0.9305338565342964,0.08807604863939865,0.004903075123477336,1243,1243,0.20229691799283508,0.293696844888582,0.01634970819266331,1243,0.044399873678613595,0.06321549033640575,0.0035191212920535624,1243
lrs2,500,40,1,3.083821820234543,1.250377357136116,0.06960682511807202,0.9163192053555528,0.10879102974446417,0.006056250250070337,1243,1243,0.12474747924006763,0.248464365100658,0.013831676902120667,1243,0.030185222499870035,0.05188748634920222,0.0028885065516522277,1243
lrs2,500,80,2,2.9741712891086878,1.32381177967669,0.07369482061659567,0.8735382567431824,0.16152991072987732,0.008992152795588716,1243,1243,0.01509694811421254,0.19895424715311055,0.011075515250694588,1243,-0.012595726112500377,0.048712274097117404,0.0027117467577530106,1243
lrs2,500,160,4,2.892606865851417,1.3686476891507493,0.07619077537134161,0.8546431044414736,0.1804024863383154,0.010042763687098276,1243,1243,-0.0664674751430582,0.19205488311066693,0.010691436937385843,1243,-0.03149087841420901,0.05907762645014048,0.0032887719769049374,1243
lrs2,500,320,8,2.869464885488404,1.3671612137966804,0.07610802528839868,0.8663830796983704,0.16612565124129014,0.00924799148639694,1243,1243,-0.08960945550607081,0.22486997885334506,0.0125182091654315,1243,-0.019750903157312344,0.04791717610900591,0.0026674847225407216,1243
lrs2,1000,-320,-8,2.1856991959884104,1.3604808612759225,0.07573613905182726,0.7050032752047631,0.2722441922909291,0.015155467886597834,1243,1243,-0.04300131187837927,0.17943444473528175,0.009988874113534888,1243,-0.04862492801553186,0.07663280011075457,0.004266044874512861,1243
lrs2,1000,-160,-4,2.21817490715033,1.342905072487988,0.07475771853781858,0.685224418251227,0.2931119355039726,0.016317147074204095,1243,1243,-0.010525600716459685,0.17631769444113707,0.009815368818174993,1243,-0.06840378496906785,0.0916098094802585,0.00509979483489486,1243
lrs2,1000,-80,-2,2.2731323493457283,1.3123956593285817,0.07305930055694129,0.7296971879656998,0.25973869025167423,0.014459303413935084,1243,1243,0.04443184147893855,0.19081494137869773,0.010622411049479918,1243,-0.02393101525459521,0.06961063723414733,0.0038751305153292043,1243
lrs2,1000,-40,-1,2.3291631442159773,1.2914195345650334,0.07189158791424329,0.8179857980379637,0.1816248547146176,0.010110811289938754,1243,1243,0.10046263634918777,0.20404126541823375,0.011358702713049059,1243,0.06435759481766873,0.07745595925454597,0.004311869036506217,1243
lrs2,1000,0,0,2.4358087867282614,1.284645945476194,0.0715145113233744,0.8510401921847579,0.1465653565170024,0.008159096197018129,1243,1243,0.20710827886147165,0.26793152010339766,0.014915387228518227,1243,0.09741198896446285,0.09833734151541268,0.005474307491553779,1243
lrs2,1000,40,1,2.3444930698635686,1.2943993442563566,0.07205746991049453,0.8170893233881167,0.18464371815983985,0.010278867356123624,1243,1243,0.11579256199677913,0.20091045464785892,0.011184414689895476,1243,0.06346112016782161,0.08273527357033449,0.0046057613612713565,1243
lrs2,1000,80,2,2.266337102589258,1.314182333051255,0.07315876227915452,0.7187210929228552,0.27139686491638115,0.015108298311716048,1243,1243,0.03763659472246853,0.18969864811027656,0.010560268505173581,1243,-0.03490711029743975,0.08121944797964338,0.004521377390145713,1243
lrs2,1000,160,4,2.195086713002175,1.3316582257502818,0.07413162171230157,0.6756201615321742,0.299982313210057,0.016699611757168168,1243,1243,-0.033613794864614646,0.17856079214818746,0.009940239049490615,1243,-0.07800804168812066,0.09550271000049164,0.005316507369048996,1243
lrs2,1000,320,8,2.14306432301252,1.3235545462323532,0.07368050077685108,0.7062603626467976,0.27391514375478637,0.015248487506364379,1243,1243,-0.0856361848542696,0.230923065947082,0.012855176379651728,1243,-0.047367840573497376,0.07850760197747526,0.00437041257193083,1243
voxceleb2,160,-320,-8,3.7056025814573452,0.3470031259061249,0.007725282884313054,0.9758140828603583,0.01485160522576532,0.00033063924526783054,7754,7754,-0.015646813900962085,0.19604423096223356,0.004364505760765326,7754,-0.0007609520146506387,0.006086285424476609,0.00013549813563199154,7754
voxceleb2,160,-160,-4,3.7425524000350365,0.3322850339992606,0.0073976160277078335,0.9778328842858184,0.013304904556164928,0.0002962052609087042,7754,7754,0.02130300467672931,0.21016284988552297,0.00467882663275578,7754,0.0012578494108094257,0.006936799948470592,0.00015443302354665515,7754
voxceleb2,160,-80,-2,3.7501565050396195,0.3319489973715519,0.00739013489046516,0.9783212018271866,0.012993637267527785,0.00028927556005636784,7754,7754,0.028907109681312222,0.21239438586964435,0.004728507011567483,7754,0.0017461669521775852,0.007206807188635962,0.00016044415761250338,7754
voxceleb2,160,-40,-1,3.7536216536870715,0.3313299029614886,0.0073763520767301345,0.9784775232956439,0.012888300598608411,0.0002869304642784309,7754,7754,0.032372258328764225,0.21611406632697908,0.004811317746188748,7754,0.001902488420634886,0.0073066489020937155,0.00016266691995247247,7754
voxceleb2,160,0,0,3.757554491478849,0.3267710311632516,0.007274858540662607,0.9785295589144172,0.012872103984955082,0.00028656988129545873,7754,7754,0.036305096120541634,0.2178761720677528,0.004850547264032435,7754,0.001954524039408104,0.007344092025403399,0.000163500511058847,7754
voxceleb2,160,40,1,3.7555850113763434,0.32858784624020654,0.00731530604493598,0.9785069729033805,0.012884903086442013,0.0002868548259321775,7754,7754,0.03433561601803602,0.21160293966551316,0.0047108871535369145,7754,0.0019319380283715046,0.007288825108969544,0.00016227011129665375,7754
voxceleb2,160,80,2,3.7501871250233516,0.33379145064703536,0.0074311531744275065,0.9783284496878396,0.01295278170152009,0.00028836599820736725,7754,7754,0.028937729665044352,0.21289970865386726,0.00473975694323832,7754,0.001753414812830647,0.007250725073476109,0.00016142189544464793,7754
voxceleb2,160,160,4,3.735427301339584,0.3366597417953209,0.007495009545914693,0.977567576692772,0.01345908069008592,0.000299637662981277,7754,7754,0.014177905981276863,0.2117764026963397,0.004714748937143637,7754,0.0009925418177630031,0.00672281449800353,0.0001496690948827029,7754
voxceleb2,160,320,8,3.6994292728520253,0.3503759566474739,0.007800371751393971,0.9752871811236842,0.015407818512824734,0.0003430221452066341,7754,7754,-0.021820122506282118,0.19671695066963055,0.004379482427122217,7754,-0.0012878537513247752,0.006161675915102257,0.00013717654375972654,7754
voxceleb2,500,-320,-8,2.6629210387673425,0.4108146707465175,0.009145910533962588,0.8860746101404664,0.0346111179737381,0.0007705425609387552,7754,7754,0.0015632659465897043,0.20434433965609844,0.004549289939476152,7754,0.0018777934348103214,0.021792067186110556,0.00048515379568137907,7754
